location_id,job_location
954,San Francisco  CA
955,Poughkeepsie  NY
956,Paducah  KY
957,Virginia  United States
958,Shalimar  FL
959,Johnstown  PA
960,Concord  NC
961,York  PA
962,San Jose  CA
963,Dallas  TX
964,Chicago  IL
965,Manhattan  NY
966,Indiana  United States
967,Austin  TX
968,Santa Clara  CA
969,Colorado Springs  CO
970,Halifax  Nova Scotia  Canada
971,New York  NY
972,Chicago  IL
973,Topeka  KS
974,Washington  DC
975,Pittsburgh  PA
976,Parsippany  NJ
977,Memphis  TN
978,Toronto  Ontario  Canada
979,Toronto  Ontario  Canada
980,Atlanta  GA
981,Chestnut Hill  MA
982,Rochester  MN
983,Salt Lake City  UT
984,Jersey City  NJ
985,O'Fallon  MO
986,Miami  FL
987,Baltimore  MD
988,Mountain View  CA
989,Bend  OR
990,Culver City  CA
991,Texas  United States
992,Richardson  TX
993,San Francisco  CA
994,Atlanta  GA
995,Harrisonburg  VA
996,Los Angeles  CA
997,St Louis  MO
998,Council Bluffs  IA
999,New York  NY
1000,Plano  TX
1001,Milwaukee  WI
1002,England  United Kingdom
1003,Cambridge  MA
1004,Parkville  Victoria  Australia
1005,Poughkeepsie  NY
1006,England  United Kingdom
1007,Alexandria  VA
1008,Charlotte  NC
1009,Findlay  OH
1010,Guildford  England  United Kingdom
1011,Pasadena  CA
1012,Boulder  CO
1013,London  England  United Kingdom
1014,Chicago  IL
1015,Madison  NJ
1016,Sumter  SC
1017,Quincy  MA
1018,Pasadena  CA
1019,Minnesota  United States
1020,Charlottesville  VA
1021,Louisiana  United States
1022,Denver  CO
1023,Lockbourne  OH
1024,Plymouth  MI
1025,Durham  NC
1026,Cincinnati  OH
1027,Durham  NC
1028,Cincinnati  OH
1029,Newark  OH
1030,Cambridge  MA
1031,McLean  VA
1032,Louisville  KY
1033,San Francisco Bay Area
1034,Bannockburn  IL
1035,Los Angeles  CA
1036,Davidson  NC
1037,Boscobel  WI
1038,Novato  CA
1039,Drummondville  Quebec  Canada
1040,Hayward  CA
1041,New York  NY
1042,Seattle  WA
1043,Plano  TX
1044,Dublin  CA
1045,Juno Beach  FL
1046,Colorado Springs  CO
1047,New York  NY
1048,Columbus  OH
1049,Springfield  MA
1050,Arlington  VA
1051,Iselin  NJ
1052,Parsippany  NJ
1053,Kennewick  WA
1054,Brooklyn Park  MN
